,publication_title,publication_year,google_scholar_link,journal_name,contributors,citations,Department 
Dr Harsh Kumar Verma,PSOBAN: a novel particle swarm optimization based protocol for wireless body area networks,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:PyEswDtIyv0C,"SN Applied Sciences 1 (11), 1492, 2019","K Kaur, HK Verma",6,Computer Science and Engineering 
Dr Harsh Kumar Verma,Community detection in social networks based on fire propagation,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:1DsIQWDZLl8C,"Swarm and evolutionary computation 44, 31-48, 2019","G Kaur, U Bansal, HK Verma, G Sikka, LK Awasthi",,Computer Science and Engineering 
Dr Harsh Kumar Verma,"Performance evaluation of RC6, blowfish, DES, IDEA, CAST-128 block ciphers",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:-jrNzM816MMC,"International Journal of Computer Applications 68 (25), 2013","K Kaur, HK Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,Impact of rock block characteristics on rockfall hazard and its implications for rockfall protection strategies along Himalayan highways: a case study,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:uVUOdF_882EC,"Bulletin of Engineering Geology and the Environment 80 (7), 5347-5368, 2021","B Singh, HK Verma, V Madaan",5,Computer Science and Engineering 
Dr Harsh Kumar Verma,AHP–neutrosophic decision model for selection of relay node in wireless body area network,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:OBSaB-F7qqsC,"CAAI Transactions on Intelligence Technology 5 (3), 222-229, 2020","R Verma, K Kumar, HK Verma",16,Computer Science and Engineering 
Dr Harsh Kumar Verma,A detailed study of an internet of things (Iot),2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:prdVHNxh-e8C,"International Journal of Scientific and Technology Research 8 (12), 2989-2994, 2019","V Singh, KP Sharma, HK Verma",17,Computer Science and Engineering 
Dr Harsh Kumar Verma,Robustness of the digital image watermarking techniques against brightness and rotation attack,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:rHJHxKgnXwkC,"arXiv preprint arXiv:0909.3554, 2009","R Verma, HK Verma, AK Singh",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,Correlates of farmers' attitude towards Buffalo management practices,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:5bg8sr1QxYwC,"Indian Journal of Extension Education 27 (1-2), 97-100, 1991","A Kumar, HK Verma",,Computer Science and Engineering 
Dr Harsh Kumar Verma,hPSO-SA: hybrid particle swarm optimization-simulated annealing algorithm for relay node selection in wireless body area networks,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:NyGDZy8z5eUC,"Applied Intelligence 51 (3), 1410-1438, 2021","RK Singh, HK Verma",16,Computer Science and Engineering 
Dr Harsh Kumar Verma,Handling imprecision in inputs using fuzzy logic to predict effort in software development,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:jU7OWUQzBzMC,"2010 IEEE 2nd International Advance Computing Conference (IACC), 436-442, 2010","V Singh, KP Sharma, HK Verma",2,Computer Science and Engineering 
Dr Harsh Kumar Verma,Influence of social media analytics on online food delivery systems,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:L1USKYWJimsC,"International Journal of Information System Modeling and Design (IJISMD) 11 …, 2020","FR Lone, HK Verma, KP Sharma",,Computer Science and Engineering 
Dr Harsh Kumar Verma,"Comparative analysis of reactive, proactive and hybrid routing protocols in MANET",2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:U4n9YNQMCAIC,"International Journal of Electronics and Computer Science Engineering 1 (3 …, 2012","RK Singh, HK Verma",20,Computer Science and Engineering 
Dr Harsh Kumar Verma,3D (4 X 4 X 4)-Playfair Cipher,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:nRpfm8aw39MC,"International Journal of Computer Applications 51 (2), 2012","HS Pattanayak, HK Verma, AL Sangal",3,Computer Science and Engineering 
Dr Harsh Kumar Verma,Improved detection and mitigation of DDoS attack in vehicular ad hoc network,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:DBa1UEJaJKAC,"2018 4th International Conference on Computing Communication and Automation …, 2018","V Bharti, V Rathi, H Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,Optimization of QoS parameters in cognitive radio using adaptive genetic algorithm,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:CdxZDUztZiMC,"International Journal of Next-Generation Networks 4 (2), 1, 2012","B Singh, HK Verma",2,Computer Science and Engineering 
Dr Harsh Kumar Verma,Energy-efficient relay node selection scheme for sustainable wireless body area networks,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:QyXJ3EUuO1IC,"Sustainable Computing: Informatics and Systems 30, 100516, 2021","FR Lone, HK Verma, KP Sharma",4,Computer Science and Engineering 
Dr Harsh Kumar Verma,Enhancement of RC6 block cipher algorithm and comparison with RC5 & RC6,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:6bLC7aUMtPcC,"2013 3rd IEEE International Advance Computing Conference (IACC), 556-561, 2013","B Singh, HK Verma",6,Computer Science and Engineering 
Dr Harsh Kumar Verma,"General awareness on allopathic, ayurvedic and homeopathic system of medicine in Chhattisgarh, India",2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:SjuI4pbJlxcC,"Int J Pharm Pharm Sci 3 (4), 159-62, 2011","D Sharma, HK Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,Evolution of VANETS to IoV: applications and challenges,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:MhiOAD_qIWkC,"Tehnički glasnik 15 (1), 143-149, 2021","B Singh, HK Verma",3,Computer Science and Engineering 
Dr Harsh Kumar Verma,Performance and evaluation of energy optimization techniques for wireless body area networks,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:Ade32sEp0pkC,"Beni-Suef University Journal of Basic and Applied Sciences 9 (1), 38, 2020","K Kaur, HK Verma",5,Computer Science and Engineering 
Dr Harsh Kumar Verma,Role of cognitive radio on 4G communications a review,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:ubry08Y2EpUC,"Journal of Emerging Trends in Computing and Information Sciences 3 (2), 272-276, 2012","HS Pattanayak, HK Verma, AL Sangal",10,Computer Science and Engineering 
Dr Harsh Kumar Verma,A review of breast cancer detection using ART model of neural networks,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:7wO8s98CvbsC,"International Journal of Advanced Research in Computer Science and Software …, 2012","S Gupta, WM Lim, H Verma, M Polonsky",3,Computer Science and Engineering 
Dr Harsh Kumar Verma,Secure real-time heterogeneous iot data management system,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:wKETBy42zhYC,"2019 first IEEE international conference on trust, privacy and security in …, 2019","B Singh, HK Verma",4,Computer Science and Engineering 
Dr Harsh Kumar Verma,Convolutional neural network based criminal detection,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:kzcSZmkxUKAC,"2020 IEEE REGION 10 CONFERENCE (TENCON), 1124-1129, 2020","HK Verma, P Patel, S Singh",,Computer Science and Engineering 
Dr Harsh Kumar Verma,A secure lightweight signature based authentication for Cloud‐IoT crowdsensing environments,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:48xauSegjOkC,"Transactions on Emerging Telecommunications Technologies 30 (4), e3292, 2019","N Bilandi, HK Verma, R Dhir",31,Computer Science and Engineering 
Dr Harsh Kumar Verma,Effective parallel processing social media analytics framework,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:NDuN12AVoxsC,"Journal of King Saud University-Computer and Information Sciences 34 (6 …, 2022","FR Lone, HK Verma, KP Sharma",25,Computer Science and Engineering 
Dr Harsh Kumar Verma,A secure data transmission protocol for cloud‐assisted edge‐Internet of Things environment,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:buQ7SEKw-1sC,"Transactions on Emerging Telecommunications Technologies 31 (6), e3883, 2020","P Maheshwari, S Murmu, HK Verma",7,Computer Science and Engineering 
Dr Harsh Kumar Verma,Hash_RC6—Variable length Hash algorithm using RC6,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:7H_MAutzIkAC,"2015 International Conference on Advances in Computer Engineering and …, 2015","A Yadav, HK Verma, LK Awasthi",5,Computer Science and Engineering 
Dr Harsh Kumar Verma,Security attacks & prerequisite for wireless sensor networks,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:FiytvqdAVhgC,"Intl journal of engineering and advanced technology (Ijeat) 2 (5), 558-566, 2013","T Mahendru, HK Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,Recent methods for software effort estimation by analogy,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:kw52XkFRtyQC,"ACM SIGSOFT Software Engineering Notes 36 (4), 1-5, 2011","P Chugh, HK Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,Authentication protocol for wireless sensor networks,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:raTqNPD5sRQC,"World Academy of Science, Engineering and Technology 66, 643-649, 2010","HK Verma, AL Sangal",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Effect of organic matter OH some physical properties of soil in the permanent manurial experiments.,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:MpfHP-DdYjUC,,"AK Singh, J Kundu, K Sarkar, HK Verma, PK Singh",34,Computer Science and Engineering 
Dr Harsh Kumar Verma,Analysis and design of protocol for enhanced threshold proxy signature scheme based on RSA for known signers,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:WHdLCjDvYFkC,"Wireless Personal Communications 80 (3), 1281-1345, 2015","RK Singh, HK Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,A hybrid framework for registration of carotid ultrasound images combining iconic and geometric features,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:LdasjJ6CEcoC,"Medical & biological engineering & computing 51 (9), 1043-1050, 2013","N Bilandi, HK Verma, R Dhir",46,Computer Science and Engineering 
Dr Harsh Kumar Verma,Blast induced damage to surrounding rock mass in an underground excavation,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:PYBJJbyH-FwC,"Journal of Geological Resource and Engineering 2 (1), 13-19, 2014","V Singh, KP Sharma, HK Verma",8,Computer Science and Engineering 
Dr Harsh Kumar Verma,Analysis of decision making operation in cognitive radio using fuzzy logic system,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:owLR8QvbtFgC,"International Journal of Computer Applications 4 (10), 35-39, 2010","R Verma, K Kumar, HK Verma",6,Computer Science and Engineering 
Dr Harsh Kumar Verma,ABNT: Adaptive beaconing and neighbor timeout for geographical routing in UAV networks,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:v1_lew4L6wgC,"Peer-to-Peer Networking and Applications 15 (4), 2079-2100, 2022","N Bilandi, HK Verma, R Dhir",28,Computer Science and Engineering 
Dr Harsh Kumar Verma,A hybrid approach of image steganography,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:43bX7VzcjpAC,"2016 International Conference on Computing, Communication and Automation …, 2016","RK Singh, HK Verma",2,Computer Science and Engineering 
Dr Harsh Kumar Verma,Code smell prioritization in object‐oriented software systems: A systematic literature review,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:jL-93Qbq4QoC,"Journal of Software: Evolution and Process 35 (12), e2536, 2023","A Singh, A Singh, K Kumari, H Verma, A Sharma, RK Chauhan",5,Computer Science and Engineering 
Dr Harsh Kumar Verma,Redis-based messaging queue and cache-enabled parallel processing social media analytics framework,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:6yz0xqPARnAC,"The computer journal 65 (4), 843-857, 2022","M Kumar, H Kumar Verma, G Sikka",20,Computer Science and Engineering 
Dr Harsh Kumar Verma,A high capacity text steganography scheme based on huffman compression and color coding,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:0CzhzZyukY4C,"Journal of Information and Optimization Sciences 38 (5), 647-664, 2017","A Kumar, H Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,A modified pixel-value differencing image steganographic scheme with least significant bit substitution method,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:QD3KBmkZPeQC,"International Journal of Image, Graphics and Signal Processing 7 (4), 68, 2015","RK Singh, HK Verma",30,Computer Science and Engineering 
Dr Harsh Kumar Verma,3D—Playfair cipher using LFSR based unique random number generator,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:4X0JR2_MtJMC,"2013 Sixth international conference on contemporary computing (IC3), 18-23, 2013","D Kaur, HK Verma, RK Singh",9,Computer Science and Engineering 
Dr Harsh Kumar Verma,Cryptanalysis and performance evaluation of enhanced threshold proxy signature scheme based on RSA for known signers,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:kVjdVfd2voEC,"Mathematical Problems in Engineering 2013 (1), 790257, 2013","H Verma, P Tandon",5,Computer Science and Engineering 
Dr Harsh Kumar Verma,Comparison of various Security Protocols in RFID,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:2tRrZ1ZAMYUC,"International journal of computer applications 24 (7), 17-21, 2011","G Kaur, HK Verma, RK Singh",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,On the energy utilization for WSN based on BPSK over the Generalized-K shadowed fading channel,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:sJsF-0ZLhtgC,"Wireless networks 20 (8), 2385-2393, 2014","A Malik, G Sikka, HK Verma",70,Computer Science and Engineering 
Dr Harsh Kumar Verma,AI-driven task scheduling strategy with blockchain integration for edge computing,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:lgwcVrK6X84C,"Journal of Grid Computing 22 (1), 13, 2024","HS Pattanayak, HK Verma, AL Sangal",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Improved ANN-based algorithm for detection and classification of faults on transmission lines,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:PVgj2kMGcgYC,"2016 1st India international conference on information processing (IICIP), 1-6, 2016","N Bilandi, HK Verma, R Dhir",4,Computer Science and Engineering 
Dr Harsh Kumar Verma,Training needs assessment of marigold growers.,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:JTqpx9DYBaYC,,"S Gupta, HK Verma, D Bhardwaj",,Computer Science and Engineering 
