,publication_title,publication_year,google_scholar_link,journal_name,contributors,citations,Department 
Dr Harsh Kumar Verma,Nischay Bahl Ajay K. Sharma,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=100&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:w0F2JDEymm0C,,"RS Narwal, VB Dixit, SS Dahiya",33,Computer Science and Engineering 
Dr Harsh Kumar Verma,Comparative Investigations and Performance Evaluation for Multiple-Level Association Rules Mining Algorithm,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:DkZNVXde3BIC,"International Journal of Computer Applications 975, 8887, 2010","HK Verma, K Kumar, SP Singh",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Evaluation of Suitability of Permitted Delay Detonators Vis-a-vis Their Delay Timing for Use in Underground Coal Mines,1980,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:vDZJ-YLwNdEC,"PROCEEDINGS OF THE ANNUAL CONFERENCE ON EXPLOSIVES AND BLASTING TECHNIQUE 34 …, 2008",HK VERMA,,Computer Science and Engineering 
Dr Harsh Kumar Verma,Intracytoplasmic sperm injection and its use in male factor infertility.,1979,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:dshw04ExmUIC,,"AK Ghai, P Mukhopadhyay",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,"Generation, propagation and control of airblast produced by blasting",1969,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:tH6gc1N1XXoC,"Indian Mining & Engineering Journal 41 (11-12), 35-38, 2002","TD Biswas, B Das, HKG Verma",2,Computer Science and Engineering 
Dr Harsh Kumar Verma,Phenological studies of diara land vegetation Bhagalpur.,1968,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:IsPWOBWtZBwC,,HK VERMA,,Computer Science and Engineering 
Dr Harsh Kumar Verma,Vesicular-arbuscular mycorrhiza of sweet potato (Ipomoea batatas (L.) Lam.) in calcareous soil of Northern Bihar.,1966,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:rbm3iO8VlycC,,HK Verma,3,Computer Science and Engineering 
Dr Harsh Kumar Verma,Farmers' Acceptability and Adoption of Rapeseed-Mustard Production Technology Under Rainfed Conditions,1966,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:zGdJYJv2LkUC,"Indian Journal of Extension Education 26 (3&4), 39-43, 1990",HK VERMA,,Computer Science and Engineering 
Dr Harsh Kumar Verma,ELECTRONIC TEST SCHEME WITH AUTOMATIC ERROR COMPUTATION FOR ENERGY METERS,1964,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:jSAVyFp_754C,,HK Verma,4,Computer Science and Engineering 
Dr Harsh Kumar Verma,Mixed boundary value problem for an infinite elastic plane with parabolic cut(Mixed boundary value problem for infinite elastic plane with parabolic cut),1964,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:HhcuHIWmDEUC,"ARCHIWUM MECHANIKI STOSOWANEJ 20 (2), 175-180, 1968","TD Biswas, B Das, HKG Verma",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Second fundamental problem for an infinite elastic plane with a parabolic arc cut(Two dimensional second fundamental problem for infinite elastic plane with parabolic arc cut …,1964,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:gVv57TyPmFsC,,"TD Biswas, B Das, HKG Verma",20,Computer Science and Engineering 
Dr Harsh Kumar Verma,Effect of organic matter on some physical properties of soil in the permanent mammal experiments.,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:mWEH9CqjF64C,,"C Martin, S Nadkarni, M Ambrosecchio, R Inbakaran, H Verma, K Kumar, ...",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Tourism Innovations,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:KNjnJ3z-R6IC,,"B Singh, HK Verma, V Madaan, M Ezzat, HA Hefny, A Mohmmed",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Aim Methods Results,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:HGTzPopzzJcC,,H Verma,,Computer Science and Engineering 
Dr Harsh Kumar Verma,"Characteristics, Formals and Functions of the Word Class of Auxiliaries: A Cross-Linguistics Review",,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:KaMxkj08jr0C,,"HK Verma, MJ Kaur, M Uddin",,Computer Science and Engineering 
Dr Harsh Kumar Verma,QoS Provisioning in Channel Allocation Strategy in Cognitive Radio Using Fuzzy Logic,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:lvd772isFD0C,,"HK Verma, A Thapliyal, D Singh, A Verma, RK Goel, VVR Prasad",,Computer Science and Engineering 
Dr Harsh Kumar Verma,Excavation Techniques for Development of Road Infrastructures in Hilly Terrain,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:HeT0ZceujKMC,,"MJ Kaur, M Uddin, HK Verma",1,Computer Science and Engineering 
Dr Harsh Kumar Verma,Performance Evaluation of AQM Techniques in PIM-DM Multicast Network for SRM Protocol,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:3htObqc8RwsC,"International Journal of Computer Applications 975, 8887, 0","HK Verma, A Kumar",,Computer Science and Engineering 
Dr Harsh Kumar Verma,ICNGCIS 2017,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:yFnVuubrUp4C,,"MA Chishti, P Gupta, D Malhotra, K Dutta, B Surendiran, A Sharma, ...",,Computer Science and Engineering 
Dr Harsh Kumar Verma,2016 Symposium on Colossal Data Analysis and Networking (CDAN),,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:kh2fBNsKQNwC,,"A Sharma, MS Deora, A Gehlot, A Rajavat, A Soni, S Badodia, ...",,Computer Science and Engineering 
Dr Harsh Kumar Verma,A COLLABORATIVE STUDY OF TRAFFIC MANAGEMENT IN CLOUD COMPUTING ENVIRONMENT,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0edtgIAAAAJ&cstart=200&pagesize=100&sortby=pubdate&citation_for_view=h0edtgIAAAAJ:ruyezt5ZtCIC,,"M TRETHA, HK VERMA, N HEMRAJANI",,Computer Science and Engineering 
Dr Sumit Kumar,Energy consumption minimisation at edge node using approach in predicting sensor parameters in WSNs,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:02qyplpeh24C,"Scientific Reports 15 (1), 37422, 2025","V Maurya, S Kumar, S Raj, R Gupta",,Computer Science and Engineering 
Dr Sumit Kumar,A Technique for Faster Convergence of Game-Theoretic Approaches for Edge Computing Resource Allocation,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:y8WI7XcMcUUC,"IEEE Transactions on Services Computing, 2024","S Kumar, A Goswami, S Kukreja, VP Singh, R Gupta",1,Computer Science and Engineering 
Dr Sumit Kumar,A distributed load balancing technique for multitenant edge servers with bottleneck resources,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:KcPShcMc7UQC,"IEEE Transactions on Reliability 73 (2), 1147-1159, 2023","S Kumar, V Maurya, R Gupta",13,Computer Science and Engineering 
Dr Sumit Kumar,Caching techniques in edge computing and challenges,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:-YNTLn4IHxkC,"2023 3rd International Conference on Advancement in Electronics …, 2023","S Kumar, Y Dash",7,Computer Science and Engineering 
Dr Sumit Kumar,Qos driven cost-efficient resource allocation in edge computing: A distributed game theoretic approach,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:2zIWv0KGyqYC,"Journal of Computational Science 72, 102106, 2023","S Kumar, A Sharma, R Gupta",8,Computer Science and Engineering 
Dr Sumit Kumar,A cost-effective and QoS-aware user allocation approach for edge computing enabled IoT,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:sULuYBl4uKQC,"IEEE Internet of Things Journal 10 (2), 1696-1710, 2022","S Kumar, A Goswami, R Gupta, SP Singh, A Lay-Ekuakille",15,Computer Science and Engineering 
Dr Sumit Kumar,Resource allocation in edge computing: A game-theoretic perspective,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:tTtrriHYXHoC,"2022 IEEE Global Conference on Computing, Power and Communication …, 2022","S Kumar, R Gupta, K Lakshmanan",3,Computer Science and Engineering 
Dr Sumit Kumar,Multicasting: A Game-Theoretic Method for Constructing an Efficient Multicast Tree,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:LonxFZa_KREC,"2022 4th International Conference on Inventive Research in Computing …, 2022","S Kumar, R Gupta, K Lakshmanan",1,Computer Science and Engineering 
Dr Sumit Kumar,A game-theoretic approach for increasing resource utilization in edge computing enabled internet of things,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:gHzeFJ_WuCsC,"IEEE Access 10, 57974-57989, 2022","S Kumar, R Gupta, K Lakshmanan, V Maurya",28,Computer Science and Engineering 
Dr Sumit Kumar,A game-theoretic approach for cost-effective multicast routing in the internet of things,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:xrERVq8-JpsC,"IEEE Internet of Things Journal 9 (18), 18041-18053, 2022","S Kumar, A Goswami, R Gupta, SP Singh, A Lay-Ekuakille",23,Computer Science and Engineering 
Dr Sumit Kumar,The design of a secure key management system in vehicular ad hoc networks,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:5hnHQVlekkwC,"2017 conference on information and communication technology (CICT), 1-6, 2017","KK Chauhan, S Kumar, S Kumar",16,Computer Science and Engineering 
Dr Sumit Kumar,Energy efficient scheduling algorithm with interference reduction for wireless sensor networks,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:Vc_znlpJgV8C,"2011 International Conference on Computational Intelligence and …, 2011","S Kumar, A Sharma, SS Raghuvanshi",7,Computer Science and Engineering 
Dr Sumit Kumar,Event Based Energy Efficient Routing Protocol for Wireless Sensor Networks (WSNs),2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:zl-nTW-_jeEC,"International Conference on Advanced Computing, Communication and Networks …, 2011","S Kumar, P Gupta, S Chauhan",,Computer Science and Engineering 
Dr Sumit Kumar,A survey on scheduling algorithms for wireless sensor networks,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FwQGA4cAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=FwQGA4cAAAAJ:0dL35dZyZCwC,"International Journal of Computer Applications 20 (5), 7-13, 2011","S Kumar, S Chauhan",80,Computer Science and Engineering 
Dr Samayveer Singh,Reversible Data Hiding using Pixel Error Value Ordering and New CNN Predictor,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:_WP0DvM6eX8C,"Signal, Image and Video Processing 19 (12), 1058, 2025","AK Saini, S Singh",,Computer Science and Engineering 
Dr Samayveer Singh,Detection of Minority Attacks in IOT Devices Using Recursive Feature Elimination Technique,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:r5WMYYrv30cC,"2025 3rd International Conference on Disruptive Technologies (ICDT), 1629-1633, 2025","S Bindra, A Malik, S Singh",,Computer Science and Engineering 
Dr Samayveer Singh,Dynamic Energy Management in Heterogeneous Sensor Networks Using Hippopotamus-Inspired Clustering,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:FmXltp8y-ZkC,"IEEE Transactions on Network and Service Management, 2025","S Singh, A Malik, V Tyagi, R Kumar, N Kumar, S Khan, M Fazil",,Computer Science and Engineering 
Dr Samayveer Singh,An Innovative Interpolation Based Reversible Steganographic Technique,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:UwpDZDXJMDUC,"Procedia Computer Science 259, 1855-1862, 2025","PS Sandhu, A Malik, S Singh, V Tyagi",,Computer Science and Engineering 
Dr Samayveer Singh,Transformer-Dilated ResUNet: An Efficient and Accurate Framework for Polyp Segmentation,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:9PmR9Y676FQC,"Procedia Computer Science 259, 1765-1772, 2025","S Gupta, G Sikka, A Malik, S Singh, V Tyagi",,Computer Science and Engineering 
Dr Samayveer Singh,A Comprehensive Survey of Lightweight Authentication Mechanisms for Vehicle Group Communication in 5G Networks,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:kFM4V80Y5EsC,"2025 IEEE International Students' Conference on Electrical, Electronics and …, 2025","SK Rajbhar, S Singh",3,Computer Science and Engineering 
Dr Samayveer Singh,Genetic algorithm based data controlling method using IoT enabled WSNs,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:lDOOmgye57wC,"Soft Computing, 1-18, 2025","S Singh, AS Nandan, G Sikka, A Malik, PK Singh",5,Computer Science and Engineering 
Dr Samayveer Singh,Improving Intrusion Detection for IoT Networks Using SMOTE and PCA on NSL-KDD Dataset,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:ult01sCh7k0C,"2025 3rd International Conference on Disruptive Technologies (ICDT), 1623-1628, 2025","S Bindra, A Malik, S Singh",,Computer Science and Engineering 
Dr Samayveer Singh,A novel energy efficient routing technique for SDN-enabled underwater WSNs using free-space optical communication,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:Qs68GpkTGbMC,"Journal of Optical Communications 45 (s1), s777-s790, 2025","V Tyagi, S Singh",14,Computer Science and Engineering 
Dr Samayveer Singh,Hybrid Whale Optimization‐Based Energy‐Efficient Lightweight Internet of Things Framework,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:fhZv66dCuXAC,"International Journal of Communication Systems 38 (5), e6046, 2025","A Sinha, S Singh, HK Verma",,Computer Science and Engineering 
Dr Samayveer Singh,Software-Defined Network-Based Energy-Efficient Multipath Flow Control for Aerial Computing,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:f5lEeLvKxmwC,"IEEE Internet of Things Journal, 2025","R Salam, V Tyagi, S Singh, N Kumar, S Pal",2,Computer Science and Engineering 
Dr Samayveer Singh,Dynamic and Secure Group Authentication for 5G-Enabled Vehicular Networks,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:Nb0HLiwjfsIC,"2025 International Conference on Electronics, AI and Computing (EAIC), 1-6, 2025","SK Rajbhar, S Singh, D Kumar",,Computer Science and Engineering 
Dr Samayveer Singh,Golden Jackal and Enhanced Remora Optimization‐Based Sink Mobility for Energy Hole Mitigation in Underwater Wireless Sensor Network,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:J3KpcKIlIpsC,"International Journal of Communication Systems 38 (10), e70114, 2025","K Kumar Tiwari, S Singh",2,Computer Science and Engineering 
Dr Samayveer Singh,A Partial Load Distribution Aware Cluster Migration Approach for Stable Control Plane in Software-Defined Wireless Sensor Networks,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:-rwTIRUNLawC,"Applied Soft Computing, 114023, 2025","V Tyagi, S Singh",,Computer Science and Engineering 
Dr Samayveer Singh,A Green Node Structuring Protocol for IoT-WSNs Based on Hybrid Fairy-Wren Optimization Theory,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:mRAYM1lGiDwC,"IEEE Internet of Things Journal, 2025","A Malik, S Singh, R Kumar, AK Rai, N Kumar",,Computer Science and Engineering 
Dr Samayveer Singh,Energy-Optimization Route and Cluster Head Selection Using M-PSO and GA in Wireless Sensor Networks,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:xMZGxf1v-3YC,"Wireless Personal Communications, 1-26, 2024","V Prakash, D Singh, S Pandey, S Singh, PK Singh",27,Computer Science and Engineering 
Dr Samayveer Singh,IoT based sensor network clustering for intelligent transportation system using meta‐heuristic algorithm,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:EO1llL0aI9sC,"Concurrency and Computation: Practice and Experience, e8193, 2024","A Malik, S Singh, Manju, M Kumar, SS Gill",7,Computer Science and Engineering 
Dr Samayveer Singh,RCBE-AS: Rabin cryptosystem–based efficient authentication scheme for wireless sensor networks,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:q82PccF7nXcC,"Personal and ubiquitous computing 28 (1), 171-192, 2024","D Singh, B Kumar, S Singh, S Chand, PK Singh",12,Computer Science and Engineering 
Dr Samayveer Singh,HSB based reversible data hiding using sorting and pairwise expansion,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:5thYEm8kiqcC,"Journal of Information Security and Applications 80, 103663, 2024","AK Saini, S Singh",5,Computer Science and Engineering 
Dr Samayveer Singh,AI-driven task scheduling strategy with blockchain integration for edge computing,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:GO5CT2y9xrEC,"Journal of Grid Computing 22 (1), 13, 2024","A Sinha, S Singh, HK Verma",14,Computer Science and Engineering 
Dr Samayveer Singh,Analysis and Performance Evaluation of Routing Protocols using Sink Mobility in IoT-enabled Wireless Sensor Networks,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:dw5aoL0HVgwC,"IoT-enabled Sensor Networks: Architecture, Methodologies, Security, and …, 2024","S Singh, A Malik",4,Computer Science and Engineering 
Dr Samayveer Singh,Load balancing in sdn-enabled wsns toward 6g ioe: Partial cluster migration approach,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:YiZc1oW-E3oC,"IEEE Internet of Things Journal 11 (18), 29557-29568, 2024","V Tyagi, S Singh, H Wu, SS Gill",14,Computer Science and Engineering 
Dr Samayveer Singh,Detecting low-resolution deepfakes: an exploration of machine learning techniques,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:7q08wCQPkLwC,"Multimedia Tools and Applications 83 (25), 66283-66298, 2024","M Pandey, S Singh, A Malik, R Kumar",5,Computer Science and Engineering 
Dr Samayveer Singh,Multi-class classification of breast cancer abnormality using transfer learning,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:BulkYocH2doC,"Multimedia Tools and Applications 83 (30), 75085-75100, 2024","N Rani, DK Gupta, S Singh",16,Computer Science and Engineering 
Dr Samayveer Singh,MS-EAR: A mobile sink based energy aware routing technique for SDN enabled WSNs,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:lYbyOjaXH8MC,"Peer-to-Peer Networking and Applications 17 (5), 3314-3334, 2024","V Tyagi, S Singh",6,Computer Science and Engineering 
Dr Samayveer Singh,Metaheuristics and Reinforcement Techniques for Smart Sensor Applications,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:HOg0WoviCygC,"Chapman and Hall/CRC, 2024","A Sinha, S Singh",,Computer Science and Engineering 
Dr Samayveer Singh,A Hybrid Seagull Optimization Algorithm for Effective Task Offloading in Edge Computing Systems,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:Y1W0x10ZrwMC,"National Academy Science Letters, 1-10, 2024","A Sinha, S Singh, HK Verma",2,Computer Science and Engineering 
Dr Samayveer Singh,Optimizing Secure Data Transmission in 6G-Enabled IoMT Using Blockchain Integration,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:QxtoOqDH1aQC,"IEEE Transactions on Consumer Electronics, 2024","A Malik, V Tyagi, S Singh, R Kumar, H Wu, SS Gill",8,Computer Science and Engineering 
Dr Samayveer Singh,Multi speaker text-to-speech synthesis using generalized end-to-end loss function,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:BDTQWqO089sC,"Multimedia Tools and Applications 83 (24), 64205-64222, 2024","O Nazir, A Malik, S Singh, ASK Pathan",6,Computer Science and Engineering 
Dr Samayveer Singh,5G Traffic Forecasting using Federated Learning,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:7LLGAk_PBK4C,"2023 Third International Conference on Secure Cyber Computing and …, 2023","A Kalam, S Singh, A Sangal",4,Computer Science and Engineering 
Dr Samayveer Singh,Discover Internet of Things,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:N7YTE_TVRugC,,"R Punia, A Malik, S Singh",,Computer Science and Engineering 
Dr Samayveer Singh,Performance Analysis of User Authentication Schemes in Wireless Sensor Networks,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:2hlgnPHlchoC,"Proceedings of International Conference on Recent Innovations in Computing …, 2023","R Kumar, S Singh",,Computer Science and Engineering 
Dr Samayveer Singh,A Review on GIF-Based Steganography Techniques,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:6_6x9JMR98MC,"Proceedings of International Conference on Recent Innovations in Computing …, 2023","A Chola, LK Awasthi, S Singh",1,Computer Science and Engineering 
Dr Samayveer Singh,A reversible data hiding technique using lower magnitude error channel pair selection,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:yRRszJvrVdAC,"Multimedia Tools and Applications 82 (6), 8467-8488, 2023","SR Brahma, S Singh, DK Gupta, A Malik",5,Computer Science and Engineering 
Dr Samayveer Singh,Experimental performance analysis of cloud resource allocation framework using spider monkey optimization algorithm,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DONY6GUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=DONY6GUAAAAJ:cAUKuAERoUMC,"Concurrency and Computation: Practice and Experience 35 (2), e7469, 2023","M Kumar, K Dubey, S Singh, J Kumar Samriya, SS Gill",22,Computer Science and Engineering 
